"ENTRY","DELTAG","UNCERTAINTY","REASON ENERGY COULD NOT BE ESTIMATED"
"R02697",-9.8,1.18,
"R02698",-95.83,1.31,
"R02699",-2.49,1.23,
"R02700",0,2,
"R02701",-3.09,0.54,
"R02702",-92.1,1.8,
"R02703",2.01,1.7,
"R02704",-13.89,0.95,
"R02705",-4.5,0.24,
"R02706",2.32,0.74,
"R02707",4.81,0.69,
"R02708",-94.39,1.28,
"R02709",-1.7,0.63,
"R02711",-3.52,0.91,
"R02712",-4.72,0.88,
"R02713","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02714",-5.72,1.24,
"R02715",-24.63,1.47,
"R02716","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02717","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02718","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02719",-2.32,0.74,
"R02720",-8.24,0.75,
"R02721","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R02722",-9.17,0.6,
"R02723",-94.39,1.28,
"R02724","Not calculated","Not calculated","Involves unknown structures"
"R02725","Not calculated","Not calculated","Involves unknown structures"
"R02726","Not calculated","Not calculated","Involves unknown structures"
"R02727",-0.8,0.68,
"R02728",0,2,
"R02729",-0.07,2.25,
"R02730",-2.32,0.74,
"R02731",-2.32,0.74,
"R02732",-4.5,0.24,
"R02733",-2,0.98,
"R02734",-0.46,0.85,
"R02735",0,2,
"R02736",-2,1.61,
"R02737",-1.7,0.63,
"R02738",-13.89,0.95,
"R02739",0,2,
"R02740",-0.89,0.61,
"R02741",-6.35,0.86,
"R02742",2.92,2.04,
"R02743",-3.14,1.01,
"R02744",2.14,0.68,
"R02745","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02746",-2.14,0.68,
"R02747",-2.14,0.68,
"R02748",1.58,0.97,
"R02749",0,2,
"R02750",4.5,0.24,
"R02751",-2.32,0.74,
"R02752",-8.17,0.69,
"R02754",0.75,0.29,
"R02755",8.69,1.31,
"R02756",3.76,1.08,
"R02757",-4.5,0.24,
"R02758",-4.5,0.24,
"R02760","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02762",-9.8,1.18,
"R02763",0.98,0.73,
"R02764",-5.76,1.21,
"R02765",0,2,
"R02766",3.76,1.08,
"R02767",3.76,1.08,
"R02768","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02769",12.51,1.17,
"R02770",0,2,
"R02771",-13.9,0.68,
"R02772",1.37,1.34,
"R02773",-3.92,0.47,
"R02774",0,2,
"R02775","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02776",2.3,1.11,
"R02777",2.3,1.11,
"R02778",-2.32,0.74,
"R02780","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02781",3.92,0.47,
"R02782",-7.83,0.82,
"R02783",-6.35,0.86,
"R02785",-6.35,0.86,
"R02786",-6.35,0.86,
"R02788",-6.35,0.86,
"R02789",-1.7,0.63,
"R02790",-1.7,0.63,
"R02791",-1.7,0.63,
"R02792",2.3,1.11,
"R02793",2.3,1.11,
"R02794",-2.49,1.23,
"R02797",-0.46,0.85,
"R02798",-6.29,0.85,
"R02799","Not calculated","Not calculated","Charge imbalanced"
"R02800",2.21,1.11,
"R02801",-7.84,0.88,
"R02802","Not calculated","Not calculated","Involves unknown structures"
"R02804","Not calculated","Not calculated","Involves unknown structures"
"R02805",-9.31,0.75,
"R02806","Not calculated","Not calculated","Involves unknown structures"
"R02807",-4.26,1.05,
"R02808",-14.2,2.26,
"R02809",-5.29,1.2,
"R02810","Not calculated","Not calculated","Involves groups with unknown energies"
"R02811",25.08,5.29,
"R02813",3.71,0.73,
"R02814",-5.76,1.21,
"R02815",17.37,1.44,
"R02816","Not calculated","Not calculated","Atoms imbalanced"
"R02817",-4.81,0.69,
"R02818","Not calculated","Not calculated","Atoms imbalanced"
"R02819",5.22,1.07,
"R02820",5.22,1.07,
"R02821",-36.39,2.46,
"R02822","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02823",-94.47,2.29,
"R02824","Not calculated","Not calculated","Involves unknown structures"
"R02825",4.99,2.01,
"R02826","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02827","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R02828",-6.53,4.97,
"R02829","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02830",-95.83,1.31,
"R02831",-0.1,0.66,
"R02832",2.3,1.11,
"R02833","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02834",2.3,1.11,
"R02836",2.3,1.11,
"R02837",-3.61,1.18,
"R02838","Not calculated","Not calculated","Involves unknown structures"
"R02839",-4.5,0.24,
"R02840",-0.75,1.14,
"R02841",13.57,1.55,
"R02842",-0.75,1.14,
"R02843","Not calculated","Not calculated","Involves unknown structures"
"R02846",-25.02,5.34,
"R02847","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02848",-4.5,0.24,
"R02849",-4.5,0.24,
"R02850",-4.5,0.24,
"R02851","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R02852",-1.81,0.26,
"R02853",-2.32,0.74,
"R02854","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02855",6.22,1.1,
"R02856",6.22,1.1,
"R02857","Not calculated","Not calculated","Involves groups with unknown energies"
"R02858","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02859","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02860","Not calculated","Not calculated","Involves unknown structures"
"R02861",2.63,1.13,
"R02862",-3.8,2.35,
"R02863",0,2,
"R02864","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02865",-4.5,0.24,
"R02866",-2.32,0.74,
"R02867",-4.5,0.24,
"R02868",-4.5,0.24,
"R02869",-10.46,2.37,
"R02872",-12.12,2.27,
"R02873","Not calculated","Not calculated","Involves unknown structures"
"R02874",-98.72,2.45,
"R02875",-126.69,13.2,
"R02876","Not calculated","Not calculated","Involves unknown structures"
"R02877",-28.04,0.78,
"R02878",5.22,1.07,
"R02879","Not calculated","Not calculated","Involves unknown structures"
"R02880",-48.33,2.63,
"R02882",-4.36,2.22,
"R02884","Not calculated","Not calculated","Involves unknown structures"
"R02885","Not calculated","Not calculated","Involves unknown structures"
"R02886","Not calculated","Not calculated","H2O:-1|RWCHWW:10|WOW:1|RWOW:2|WCH2W:2|PrimOH:8|Origin:1|"
"R02887","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02888","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R02889","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02890","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R02892",13.57,1.55,
"R02893",13.57,1.55,
"R02894",-34.14,1.28,
"R02895","Not calculated","Not calculated","Charge imbalanced"
"R02896",3.57,1.76,
"R02897",-1.7,0.63,
"R02898",8.37,1.84,
"R02899",-3.61,1.18,
"R02901",-8.01,0.69,
"R02902",-2.67,0.64,
"R02903","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R02904","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R02905","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02906",-15.14,2.59,
"R02907",-28.09,2.42,
"R02908",-24.02,1.04,
"R02909",-92.1,1.8,
"R02910",-6.74,2.33,
"R02911",-5.29,1.26,
"R02912","Not calculated","Not calculated","Involves unknown structures"
"R02914",2.77,1.1,
"R02915",15.88,2.58,
"R02917","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R02918",-7.34,0.81,
"R02919",-23.15,1.36,
"R02920",-4.36,2.22,
"R02921",1.07,0.75,
"R02922",-7.55,2.76,
"R02923",-23.02,1.06,
"R02924",-1.24,0.38,
"R02925","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02926",-3.11,0.69,
"R02927",-6.06,0.35,
"R02928",3.57,1.76,
"R02929",-6.35,0.86,
"R02930",-0.46,0.85,
"R02931",-4.36,2.22,
"R02932",-1.7,0.63,
"R02933",-5.72,1.24,
"R02934",0,2,
"R02935",6.22,1.1,
"R02936",6.22,1.1,
"R02937",6.56,0.85,
"R02938",-4.72,0.88,
"R02940",-9.8,1.18,
"R02941",-9.8,1.18,
"R02942",-3.68,0.84,
"R02943",-16.91,0.64,
"R02944",2.3,1.11,
"R02945",2.3,1.11,
"R02946",3.76,1.08,
"R02947",-1.67,0.61,
"R02948",-1.67,0.61,
"R02949",0,2,
"R02950","Not calculated","Not calculated","Charge imbalanced"
"R02951",-1.7,0.63,
"R02952",-4.01,0.69,
"R02953",-0.6,1.29,
"R02954",1.51,1.17,
"R02955",-1.54,0.52,
"R02956",0,2,
"R02957",-9.45,2.61,
"R02959","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R02960",-0.61,2.61,
"R02961",-14.2,2.26,
"R02962","Not calculated","Not calculated","Involves unknown structures"
"R02963",1.5,0.72,
"R02964","Not calculated","Not calculated","Charge imbalanced"
"R02965",-30,2.93,
"R02966","Not calculated","Not calculated","Involves unknown structures"
"R02967",-70.69,2.9,
"R02968",-70.69,2.9,
"R02969",8.68,1.14,
"R02970",2.46,0.18,
"R02971",-4.5,0.24,
"R02972",-3.09,0.54,
"R02973",-0.46,0.85,
"R02974",-8.88,1.25,
"R02975",0.74,1.23,
"R02976",-4.5,0.24,
"R02978",3.76,1.08,
"R02979","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02980","Not calculated","Not calculated","Involves unknown structures"
"R02982",-4.36,2.22,
"R02983",-4.58,2.16,
"R02984",0,2,
"R02985",3.11,0.69,
"R02986",-2.49,1.23,
"R02987","Not calculated","Not calculated","Involves unknown structures"
"R02988",15,1.26,
"R02989",15,1.26,
"R02990",0,2,
"R02991",-13.44,1.11,
"R02992",-18,2.16,
"R02993","Not calculated","Not calculated","Charge imbalanced"
"R02994","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02995","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R02996",0,2,
"R02997",-2.14,0.68,
"R02998",0,2,
"R02999","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03000","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R03001",0,2,
"R03003",-14.2,2.26,
"R03004",-9.31,0.75,
"R03005",1.07,0.75,
"R03006",-95.83,1.31,
"R03008",-110.08,0.83,
"R03009",-110.08,0.83,
"R03012",5.22,1.07,
"R03013",-2.32,0.74,
"R03014",-4.5,0.24,
"R03015","Not calculated","Not calculated","Involves unknown structures"
"R03016","Not calculated","Not calculated","Involves unknown structures"
"R03017","Not calculated","Not calculated","Involves unknown structures"
"R03018",-4.5,0.24,
"R03019",-7.98,2.36,
"R03020",-12.68,0.94,
"R03021",6.22,1.1,
"R03022",6.22,1.1,
"R03023",-96.66,1.61,
"R03024",-2.32,0.74,
"R03025",-11.67,1.35,
"R03026",2.16,0.77,
"R03027",2.16,0.77,
"R03028",-4.9,0.53,
"R03030",4.63,0.78,
"R03031",-0.89,0.48,
"R03032",-8.17,0.69,
"R03033",-8.17,0.69,
"R03034",-5.72,1.24,
"R03035",1.07,0.75,
"R03036",-9.31,0.75,
"R03037",-12.22,0.91,
"R03038",-7.34,0.81,
"R03039","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R03040",10.78,1.28,
"R03041","Not calculated","Not calculated","Involves unknown structures"
"R03042","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R03043",5.22,1.07,
"R03044",-5.22,1.07,
"R03045",-0.31,0.71,
"R03046",2.16,0.73,
"R03048",3.67,1.1,
"R03049",-2.14,0.68,
"R03050",3.66,0.6,
"R03051",-3.76,1.08,
"R03052",2.46,0.18,
"R03053",0,2,
"R03054",-3.67,1.1,
"R03055",-5.28,1.51,
"R03056",-5.29,1.26,
"R03057",-3.63,1.96,
"R03058",-16.03,2.02,
"R03059",-9.31,2.12,
"R03060",-2.32,0.74,
"R03062",-3.68,0.84,
"R03063",0,2,
"R03064",3.61,1.18,
"R03065",-3.61,1.18,
"R03066",-18.92,1.34,
"R03067",-22.66,1.34,
"R03069",-0.91,1.11,
"R03070",-1.45,0.59,
"R03071","Not calculated","Not calculated","Involves unknown structures"
"R03072","Not calculated","Not calculated","Involves unknown structures"
"R03073",0,2,
"R03075",0,2,
"R03076","Not calculated","Not calculated","Involves unknown structures"
"R03077",1.07,0.75,
"R03078","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R03079","Not calculated","Not calculated","Involves unknown structures"
"R03080",5.22,1.07,
"R03081",0.75,0.29,
"R03082",-4.05,1.52,
"R03083",-16.93,1.13,
"R03084",-8.48,0.97,
"R03085","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R03086","Not calculated","Not calculated","Involves unknown structures"
"R03087","Not calculated","Not calculated","Involves unknown structures"
"R03088",-95.83,1.31,
"R03089",-96.19,1.36,
"R03090",-95.83,1.31,
"R03091",-1.7,0.63,
"R03092",-105.76,1.12,
"R03093",1.8,5.05,
"R03094",30.13,1.08,
"R03095",-6.35,0.86,
"R03096",-4.72,0.88,
"R03097",-92.1,1.8,
"R03098",22.1,0.71,
"R03099",16.71,1.23,
"R03102",-9.8,1.18,
"R03103",-9.8,1.18,
"R03104",6.22,1.1,
"R03105",-10.61,0.96,
"R03106",-20.46,6.03,
"R03107",-2.14,0.68,
"R03109",-3.61,1.18,
"R03110",-4.5,0.24,
"R03111",-4.36,2.22,
"R03112",-4.36,2.22,
"R03113","Not calculated","Not calculated","Charge imbalanced"
"R03114",0.75,1.14,
"R03115","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R03116","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R03118","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R03119",5.22,1.07,
"R03120","Not calculated","Not calculated","Charge imbalanced"
"R03121","Not calculated","Not calculated","Charge imbalanced"
"R03122","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R03123",0.75,1.14,
"R03124",-95.83,1.31,
"R03125",-191.65,2.63,
"R03126",-120.41,1.63,
"R03127",-11.75,1.09,
"R03128",-7.66,0.98,
"R03129","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R03130",-4.36,2.22,
"R03131",-2.95,1.05,
"R03132","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03133",-2.95,1.05,
"R03134",-2.95,1.05,
"R03135","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R03136","Not calculated","Not calculated","Involves unknown structures"
"R03137","Not calculated","Not calculated","Involves unknown structures"
"R03138",-2.27,1.36,
"R03139",-24.02,1.04,
"R03140",-124.36,0.61,
"R03141","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R03142","Not calculated","Not calculated","Involves unknown structures"
"R03143","Not calculated","Not calculated","Involves unknown structures"
"R03145","Not calculated","Not calculated","Involves unknown structures"
"R03146","Not calculated","Not calculated","Involves unknown structures"
"R03147","Not calculated","Not calculated","Involves unknown structures"
"R03148",-9.45,0.77,
"R03149",1.07,0.75,
"R03150","Not calculated","Not calculated","Involves unknown structures"
"R03151","Not calculated","Not calculated","Involves unknown structures"
"R03153",-1.54,0.52,
"R03154",0,2,
"R03155",4.76,1.13,
"R03156","Not calculated","Not calculated","Involves unknown structures"
"R03157",1.06,1.21,
"R03158",5.76,1.21,
"R03161",-4.5,0.24,
"R03162",-3.11,0.69,
"R03163",0,2,
"R03164","Not calculated","Not calculated","Involves unknown structures"
"R03165","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03166","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03167","Not calculated","Not calculated","Involves unknown structures"
"R03168",1.39,1.69,
"R03169",15.99,1.18,
"R03170",-76.79,1.57,
"R03171",-8.14,1.6,
"R03172","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03173","Not calculated","Not calculated","Involves unknown structures"
"R03174",0,2,
"R03175","Not calculated","Not calculated","Involves unknown structures"
"R03176",2.3,1.11,
"R03177",-9.8,1.18,
"R03178",-4.09,0.6,
"R03180",-4.72,0.88,
"R03181",0,2,
"R03182",-24.62,1.63,
"R03183",-0.86,2.09,
"R03184",-29.41,0.8,
"R03185","Not calculated","Not calculated","Involves unknown structures"
"R03186","Not calculated","Not calculated","Charge imbalanced"
"R03187",-14.36,1.95,
"R03188",2.82,1.57,
"R03189",-8.7,0.98,
"R03190",0,2,
"R03191",15.33,1.2,
"R03192",15.33,1.2,
"R03193",-6.35,0.86,
"R03194","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03195","Not calculated","Not calculated","Involves unknown structures"
"R03197","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03198",-9.8,1.18,
"R03199",-86.57,9.88,
"R03200","Not calculated","Not calculated","Involves groups with unknown energies"
"R03201","Not calculated","Not calculated","Involves unknown structures"
"R03202",-25.37,1.64,
"R03203","Not calculated","Not calculated","Involves unknown structures"
"R03204",-119.45,1.81,
"R03206","Not calculated","Not calculated","Involves unknown structures"
"R03207",0,2,
"R03208",-48.7,1.33,
"R03209",-2.49,1.23,
"R03210",2.16,1.19,
"R03211",-15.65,1.3,
"R03212","Not calculated","Not calculated","Involves unknown structures"
"R03213",-10.49,1.08,
"R03214",-4.5,0.24,
"R03215","Not calculated","Not calculated","Involves unknown structures"
"R03216",-16.31,1,
"R03217",-9.36,1.18,
"R03218","Not calculated","Not calculated","Involves unknown structures"
"R03219","Not calculated","Not calculated","Involves unknown structures"
"R03220","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03222","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03223",-0.07,1.03,
"R03224",2.16,0.77,
"R03225",-2.46,0.18,
"R03226",2.3,1.11,
"R03227",2.3,1.11,
"R03228",0,2,
"R03229",-4.36,2.22,
"R03230",-3.61,1.18,
"R03231",2.46,0.18,
"R03232",-13.89,0.95,
"R03234",3.76,1.08,
"R03236",-4.5,0.24,
"R03237",-4.5,0.24,
"R03238",-4.5,0.24,
"R03239",-4.5,0.24,
"R03240",-0.89,0.61,
"R03241",-4.5,0.24,
"R03243",-2.46,0.18,
"R03244",0,2,
"R03245",0,2,
"R03246",-100.59,1.37,
"R03247",-0.1,0.66,
"R03248",0,2,
"R03249",-16.5,1.33,
"R03250",3.9,1.68,
"R03251",-21.31,2.86,
"R03252",-77.96,2.12,
"R03253",-82.81,1.92,
"R03254",14.83,1.56,
"R03255",-3.11,0.69,
"R03256",-3.11,0.69,
"R03257","Not calculated","Not calculated","Involves unknown structures"
"R03258",-4.5,0.24,
"R03259",-9.29,2.17,
"R03260",-7.82,1.07,
"R03261",0.75,1.14,
"R03262","Not calculated","Not calculated","Involves unknown structures"
"R03263","Not calculated","Not calculated","Involves unknown structures"
"R03264",3.67,1.1,
"R03265",0,2,
"R03266",0,2,
"R03267",-0.87,1.12,
"R03268","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R03269",-3.09,0.54,
"R03270",-2.81,1.93,
"R03271",-10.46,2.37,
"R03272","Not calculated","Not calculated","Involves unknown structures"
"R03273","Not calculated","Not calculated","Involves unknown structures"
"R03274","Not calculated","Not calculated","Involves unknown structures"
"R03275",-1.81,0.26,
"R03276",0,2,
"R03277",-0.75,0.29,
"R03278",4.76,1.13,
"R03279",2.3,1.11,
"R03281",-97.25,1.52,
"R03283",-9.8,1.18,
"R03284",-2.56,0.38,
"R03286",-7.78,0.88,
"R03288",-0.46,0.85,
"R03289",-4.5,0.24,
"R03290",2.3,1.11,
"R03291",-0.99,1.25,
"R03292",2.3,1.11,
"R03293",-0.99,1.25,
"R03294","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03295","Not calculated","Not calculated","Involves unknown structures"
"R03296",0,2,
"R03297",-2.67,0.64,
"R03298",29.22,2.23,
"R03299",-95.83,1.31,
"R03300",-9.8,1.18,
"R03302",-9.8,1.18,
"R03303",-72.01,1.62,
"R03304",-4.36,2.22,
"R03306","Not calculated","Not calculated","Involves groups with unknown energies"
"R03307",-1.16,1.5,
"R03308",-0.52,1.35,
"R03310",-98.47,2.09,
"R03311",81.75,7.42,
"R03313",-0.36,1.2,
"R03314",-14.06,1.04,
"R03315",-4.5,0.24,
"R03316",-2.81,1.93,
"R03317",-4.58,2.16,
"R03318",1.07,0.75,
"R03319",0,2,
"R03321",-0.89,0.61,
"R03322",-15.14,2.59,
"R03323",0,2,
"R03324",3.76,1.08,
"R03325",3.76,1.08,
"R03326","Not calculated","Not calculated","Involves unknown structures"
"R03327",0.75,1.14,
"R03328",0.75,1.14,
"R03329",-96.19,1.36,
"R03330",-2.32,0.74,
"R03331",-4.81,0.69,
"R03332",-4.81,0.69,
"R03333",-7.73,2.15,
"R03334",0,2,
"R03336",6.22,1.1,
"R03337",6.22,1.1,
"R03338",6.22,1.1,
"R03339",6.22,1.1,
"R03341",-4.09,0.6,
"R03342",4.95,0.73,
"R03344","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03345","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R03346",-2.32,0.74,
"R03347",4.5,0.24,
"R03348",-0.08,1.37,
"R03349",6.23,1.3,
"R03350",0.33,1.52,
"R03351",-3.43,0.74,
"R03352",-5.76,1.21,
